障害程度別対象事業一覧表

# 障害程度別対象事業一覧表（○対象・△一部対象）

| 事業 | 本文頁 | 所得制限 | 身体障害者手帳 <br> 視覚障害 | | | | | | 身体障害者手帳 <br> 聴覚又は平衡感覚機能障害 | | |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| | | | 1 | 2 | 3 | 4 | 5 | 6 | 2 | 3 | 4 |
| 東京メトロ旅客運賃の割引 | 120 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 私鉄旅客運賃の割引 | 120 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| タクシー運賃の割引 | 120 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 航空運賃の割引 | 121 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 旅客船運賃の割引 | 121 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| テレビ受信料の減免 | 121 | 有 | △ | △ | △ | △ | △ | △ | △ | △ | △ |
| 水道・下水道料金の減免 | 122 | 有 | 本文参照 | | | | | | | | |
| 携帯電話使用料等の割引 | 123 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 郵便料金・ゆうパック運賃等の減免 | 123 | | 本文参照 | | | | | | | | |
| 通常郵便葉書（青い鳥郵便葉書）の無料配布 | 124 | | ○ | ○ | | | | | ○ | | |
| **税の軽減** | | | | | | | | | | | |
| 所得税・住民税の障害者控除 | 125 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 住民税の非課税 | 126 | 有 | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 相続税の軽減 | 126 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 特定障害者に対する贈与税の非課税 | 127 | | 本文参照 | | | | | | | | |
| 個人事業税の減免など | 127 | 有 | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 少額貯蓄の利子等の非課税 | 128 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 自動車・軽自動車等に関する税の減免 | 128 | | ○ | ○ | ○ | △ | | | ○ | ○ | |
| 関税の免除 | 130 | | 本文参照 | | | | | | | | |
| **住宅** | | | | | | | | | | | |
| 住宅設備改善費の助成 | 131 | | | | | | | | | | |
| 高齢者等住宅修築資金の助成 | 132 | | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ |
| 耐震改修工事等の助成 | 133 | | 本文参照 | | | | | | | | |
| 移転費用等の助成 | 134 | 有 | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| すみかえサポート事業 | 134 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| すまいる住宅登録事業 | 135 | | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ |
| あんしん居住制度助成 | 135 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 障害者住宅 | 135 | 有 | ○ | ○ | ○ | | | | ○ | ○ | ○ |
| 都営住宅 | 136 | 有 | ○ | ○ | ○ | ○ | △ | △ | ○ | ○ | ○ |
| UR賃貸住宅 | 137 | | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ |
| **余暇活動の支援** | | | | | | | | | | | |
| 心身障害者・児バスレクリエーション | 154 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 区立施設等の入場料・利用料金の免除 | 157 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 都立公園等の入場料・駐車料金の免除 | 157 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 「四季の郷薬師温泉やまびこ荘」の利用 | 159 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |
| 東京都障害者休養ホーム | 160 | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ |

-12-
