障害程度別対象事業一覧表

| 聴覚・平衡 5 | 聴覚・平衡 6 | 音声・言語 3 | 音声・言語 4 | 肢体不自由 1 | 肢体不自由 2 | 肢体不自由 3 | 肢体不自由 4 | 肢体不自由 5 | 肢体不自由 6 | 内部障害 1 | 内部障害 2 | 内部障害 3 | 内部障害 4 | 愛の手帳 1 | 愛の手帳 2 | 愛の手帳 3 | 愛の手帳 4 | 脳性麻痺 | 特殊疾病(難病) | 精神障害 |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | △ | | | △ |
| 本文参照 | | | | | | | | | | | | | | | | | | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| 本文参照 | | | | | | | | | | | | | | | | | | | | |
| | | | | ○ | ○ | | | | | ○ | ○ | | | ○ | ○ | | | | | |
| | | | | | | | | | | | | | | | | | | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| 本文参照 | | | | | | | | | | | | | | | | | | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | | △ | | ○ | ○ | △ | △ | △ | △○ | ○ | ○ | ○ | △ | ○ | ○ | ○ | | | | △ |
| 本文参照 | | | | | | | | | | | | | | | | | | | | |
| | | | | | | | | | | | | | | | | | | | | |
| | | | | △ | △ | △ | | | | △ | △ | △ | △ | | | | | | △ | |
| | | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | ○ | ○ | △ |
| 本文参照 | | | | | | | | | | | | | | | | | | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| | | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| | | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | | |
| △ | △ | ○ | ○ | ○ | ○ | ○ | ○ | △ | △ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | △ | | | △ |
| | | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ | ○ | ○ | ○ | ○ | ○ | | | | | △ |
| | | | | | | | | | | | | | | | | | | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | | △ |
| ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | ○ | | | ○ |

-13-
