6 福祉用具等の給付

3. 在宅療養等支援用具

| 種目 | 性能 | 耐用年数 | 対象者 | |
| :--- | :--- | :--- | :--- | :--- |
| | | | 手帳障害程度 | 年齢 |
| 透析液加温器 | 自己連続携行式腹膜灌流法による人工透析に使用する加温器で、一定温度に保つもの | 5年 | 身体障害者手帳所持者で自己連続携行式腹膜灌流療法による透析療法を受けている方 | 3歳以上 |
| パルスオキシメーター<br>（動脈血中酸素飽和測定器） | 呼吸状態を継続的にモニタリングすることが可能な機能を有し、障害者（児）が容易に使用できるもの | 5年 | 在宅酸素療法を行っている方又は人工呼吸器の装置が必要であると医師に認められた方 | ─ |
| ネブライザー<br>（吸入器） | 障害者（児）が容易に使用できるもの | 5年 | 医師により必要と認められた方 | ─ |
| 電気式たん吸引器 | 障害者（児）が容易に使用できるもの | 5年 | 医師により必要と認められた方 | ─ |
| 音声式体温計 | 障害者（児）が容易に使用できるもの | 5年 | 視覚1・2級（視覚障害者のみの世帯及び準ずる世帯に限る） | 学齢児以上 |
| 音声式体重計 | 障害者が容易に使用できるもの | 5年 | 視覚1・2級（視覚障害者のみの世帯及び準ずる世帯に限る） | 18歳以上 |
| 音声式血圧計 | 音声による読み上げ機能を有し、障害者（児）が容易に使用できるもの | 5年 | 視覚1・2級かつ医師により必要と認められた方（視覚障害者のみの世帯及び準ずる世帯に限る） | 18歳以上<br>※18歳未満は別途要件あり |
| 正弦波インバーター発電機 | ガソリン又はガスボンベ等で作動し、インバータにより正弦波交流を出力できる定格出力が850VA以上のもの | 5年 | ①呼吸器3級以上<br>②医師により給付が必要と認められた難病患者・医療的ケア児（者）<br>（①②いずれも在宅で人工呼吸器を使用して災害時個別支援計画を作成し、他の公的制度による貸与・給付を受けていない方に限る）<br>※同一世帯において共用できる用具は、給付はいずれか一種目に限る | |
| ポータブル電源（蓄電器） | 運搬可能な蓄電機能を有する正弦波交流出力の電源装置で、定格出力が300W以上のもの | | | |
| DC/ACインバーター<br>（カーインバーター） | 自動車用バッテリー等の直流電源（DC）を正弦波交流電源（AC）に変換する装置で、定格出力が300W以上のもの | | | |

-71-
