| 事業所名（運営主体） | 住所 | 電話番号<br>ファックス番号 | 対象者 | 対象に児童を含む |
| --- | --- | --- | --- | --- |
| 移動支援事業所「小さな輪」<br>(特定非営利活動法人 夢職工房) | 千駄木2-18-1 | 03-3821-4183<br>03-3821-3683 | 肢 視 知 精 | ◯ |
| フィット西片ケアサービス<br>(株式会社 FIT西片) | 白山1-6-5<br>シルバープラザ白山104号室 | 03-3868-3522<br>03-3868-3005 | 肢 視 知 精 | ◯ |
| グッドライフケア訪問介護 文京<br>(株式会社 グッドライフケア東京) | 小石川2-19-1<br>林田ビル1階 | 03-3868-2910<br>03-3868-2876 | 肢 視 知 精 難 | |
| ピカ1ケア<br>(エイチアイケアサービス 合同会社) | 小石川5-34-10 | 03-6801-5436<br>03-3812-2740 | 肢 | |
| ホームケアよすが<br>(株式会社 SOURA) | 千駄木3-42-5<br>セントラルヴィラ千駄木102号室 | 03-6821-1855<br>03-6732-1494 | 肢 視 知 精 難 | ◯ |
| 虹さぽーとすてーしょん<br>(れーげんぼーげん 株式会社) | 向丘1-3-1-705 | 03-3815-7667<br>03-3815-7667 | 視 知 | ◯ |
| ヘルパーステーションせら<br>(株式会社 けせら) | 本郷3-15-2<br>本郷二村ビル201 | 03-5840-7040<br>03-5840-7040 | 肢 視 知 精 難 | ◯ |
| ケアシステム風丸<br>(kukor 株式会社) | 本郷4-16-6<br>天翔オフィス1301 | 03-3868-0120<br>03-3868-0102 | 肢 知 精 難 | ◯ |
| ケア21文京<br>(株式会社 ケア21) | 向丘2-34-12<br>清水ビル1階 | 03-3828-5490<br>03-3828-5493 | 肢 知 | ◯ |
| 訪問介護事業所きずな 本郷赤門店<br>(株式会社 快活快護) | 本郷4-5-10<br>サンファミリー本郷203 | 03-5990-9227 | 肢 視 知 精 難 | ◯ |

**【計画相談支援】**　(対象者) 肢…身体障害　知…知的障害　精…精神障害　難…難病

| 事業所名<br>(運営主体) | 住所 | 電話番号<br>ファックス番号 | 対象者<br>(精神は発達障害を含む) | 対象に児童<br>を含む |
| --- | --- | --- | --- | --- |
| 文京区児童発達支援センター<br>(文京区) | 湯島4-7-10<br>教育センター内 | 03-5800-2594<br>03-5800-2590 | 身 知 精 難 | ◯ |
| 指定特定相談支援事業所 とみさか<br>(社会福祉法人 復生あそび会) | 千石1-15-5<br>千石文化苑ビル101号 | 03-5810-1535<br>03-6912-1228 | 身 知 精 難 | |
| 指定特定相談支援事業所 もとふじ<br>(社会福祉法人 本郷の森) | 本郷2-21-3<br>青木ビル1階 | 03-3868-3085<br>03-3868-3039 | 身 知 精 難 | |
| 地域プラザ ふらっと<br>(社会福祉法人 武蔵野会) | 小日向2-16-15 | 03-5940-2822<br>03-5940-2823 | 身 知 | ◯ |
| あくせす<br>(社会福祉法人 文京梶の会) | 大塚4-21-8 | 03-3943-4300<br>03-3943-4330 | 身 知 | |
| ふる里学舎小石川<br>(社会福祉法人 佑啓会) | 小石川3-30-6 | 03-3811-1431<br>03-5689-4523 | 身 知 | |
| ふる里学舎本郷<br>(社会福祉法人 佑啓会) | 本郷2-21-7 | 03-5803-2333<br>03-5803-2340 | 知 | |
| サポートセンターいちょう<br>(社会福祉法人 本郷の森) | 本郷3-37-1<br>中村ビル2階 | 03-3868-3039<br>03-3868-3039 | 精 | |
| エナジーハウス<br>(特定非営利活動法人 エナジー本舗) | 千駄木5-10-8 | 03-3828-6517<br>03-5832-9721 | 精 | |
| 文京地域生活支援センターあかり<br>(社会福祉法人 復生あそび会) | 千石4-27-12<br>水間ビル1階 | 03-5976-3351<br>03-3944-0288 | 精 | |
| だんござかハウス 相談支援係<br>(株式会社 津知弥) | 千駄木2-33-8<br>津知弥ビル2階 | 03-5834-7797<br>03-5834-7287 | 身 知 | ◯ |
| 相談支援事業所 リリーフ<br>(一般社団法人 リリーフ) | 湯島3-20-9-401 | 03-6240-1977<br>03-6240-1978 | 身 知 精 難 | ◯ |
| 相談支援事業所やえ<br>(一般社団法人 障がい支援こはる会) | 向丘2-33-14 | 03-5834-8991<br>03-6801-6172 | 身 知 精 難 | ◯ |
| ケアワーク弥生 介護支援部<br>(株式会社 ケアワーク弥生) | 弥生2-15-13 | 03-3811-1259<br>03-3811-1267 | 身 知 精 難 | ◯ |
| Taurus<br>(株式会社 Next Ys) | 千石4-21-2<br>コーポ堀井303号室 | 080-7554-9562<br>03-6914-2217 | 身 知 精 難 | |

**【地域相談支援（地域移行支援・地域定着支援）】**　(対象者) 身…身体障害　知…知的障害　精…精神障害　難…難病

| 事業所名<br>(運営主体) | 住所 | 電話番号<br>ファックス番号 | 対象者<br>(精神は発達障害を含む) | 対象に児童<br>を含む |
| --- | --- | --- | --- | --- |
| あくせす<br>(社会福祉法人 文京梶の会) | 文京区大塚4-21-8 | 03-3943-4300<br>03-3943-4330 | 身 知 | |

---
**施設**
**22**

-188-
