# 4. 障害者総合支援法の難病患者等対象疾病一覧　376疾病（令和7年4月1日改定）
○印…障害者総合支援法独自の支援疾病（29疾病）

| 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 |
|---|---|---|---|---|---|---|---|
| 1 | アイカルディ症候群 | 48 | オスラー病 | 95 | 結節性多発動脈炎 | 142 | シェーグレン症候群 |
| 2 | アイザックス症候群 | 49 | カーニー複合 | 96 | 血栓性血小板減少性紫斑病 | 143 | 色素性乾皮症 |
| 3 | IgA腎症 | 50 | 海馬硬化を伴う内側側頭葉てんかん | 97 | 限局性皮膚異形成 | 144 | 自己貪食空胞性ミオパチー |
| 4 | IgG4関連疾患 | 51 | 潰瘍性大腸炎 | 98 | 原発性肝外門脈閉塞症 | 145 | 自己免疫性肝炎 |
| 5 | 亜急性硬化性全脳炎 | 52 | 下垂体前葉機能低下症 | 99 | 原発性局所多汗症　○ | 146 | 自己免疫性後天性凝固因子欠乏症 |
| 6 | アジソン病 | 53 | 家族性地中海熱 | 100 | 原発性硬化性胆管炎 | 147 | 自己免疫性溶血性貧血 |
| 7 | アッシャー症候群 | 54 | 家族性低βリポタンパク血症1（ホモ接合体） | 101 | 原発性高脂血症 | 148 | 四肢形成不全　○ |
| 8 | アトピー性脊髄炎 | 55 | 家族性良性慢性天疱瘡 | 102 | 原発性側索硬化症 | 149 | シトステロール血症 |
| 9 | アペール症候群 | 56 | カナバン病 | 103 | 原発性胆汁性胆管炎 | 150 | シトリン欠損症 |
| 10 | アミロイドーシス | 57 | 化膿性無菌性関節炎・壊疽性膿皮症・アクネ症候群 | 104 | 原発性免疫不全症候群 | 151 | 紫斑病性腎炎 |
| 11 | アラジール症候群 | 58 | 歌舞伎症候群 | 105 | 顕微鏡的大腸炎　○ | 152 | 脂肪萎縮症 |
| 12 | アルポート症候群 | 59 | ガラクトース-1-リン酸ウリジルトランスフェラーゼ欠損症 | 106 | 顕微鏡的多発血管炎 | 153 | 若年性特発性関節炎 |
| 13 | アレキサンダー病 | 60 | カルニチン回路異常症 | 107 | 高IgD症候群 | 154 | 若年性肺気腫 |
| 14 | アンジェルマン症候群 | 61 | 加齢黄斑変性　○ | 108 | 好酸球性消化管疾患 | 155 | シャルコー・マリー・トゥース病 |
| 15 | アントレー・ビクスラー症候群 | 62 | 肝型糖原病 | 109 | 好酸球性多発血管性肉芽腫症 | 156 | 重症筋無力症 |
| 16 | イソ吉草酸血症 | 63 | 間質性膀胱炎（ハンナ型） | 110 | 好酸球性副鼻腔炎 | 157 | 修正大血管転位症 |
