# 4. 障害者総合支援法の難病患者等対象疾患一覧 376疾患（令和7年4月1日改定）
○印…障害者総合支援法独自の支援疾病（29疾病）

| 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 |
|---|---|---|---|---|---|---|---|
| 189 | 全身性強皮症 | 236 | 中隔視神経形成異常症／ドモルシア症候群 | 283 | PURA関連神経発達異常症 | 330 | ポルフィリン症 |
| 190 | 先天異常症候群 | 237 | 中毒性表皮壊死症 | 284 | 非ケトーシス型高グリシン血症 | 331 | マリネスコ・シェーグレン症候群 |
| 191 | 先天性横隔膜ヘルニア | 238 | 腸管神経節細胞僅少症 | 285 | 肥厚性皮膚骨膜症 | 332 | マルファン症候群／ロイス・ディーツ症候群 |
| 192 | 先天性核上性球麻痺 | 239 | TRPV4異常症 | 286 | 非ジストロフィー性ミオトニー症候群 | 333 | 慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー |
| 193 | 先天性気管狭窄症／先天性声門下狭窄症 | 240 | TSH分泌亢進症 | 287 | 皮質下梗塞と白質脳症を伴う常染色体優性脳動脈症 | 334 | 慢性血栓塞栓性肺高血圧症 |
| 194 | 先天性魚鱗癬 | 241 | TNF受容体関連周期性症候群 | 288 | 肥大型心筋症 | 335 | 慢性再発性多発性骨髄炎 |
| 195 | 先天性筋無力症候群 | 242 | 低ホスファターゼ症 | 289 | 左肺動脈右肺動脈起始症 | 336 | 慢性膵炎 ○ |
| 196 | 先天性グリコシルホスファチジルイノシトール（GPI）欠損症 | 243 | 天疱瘡 | 290 | ビタミンD依存性くる病／骨軟化症 | 337 | 慢性特発性偽性腸閉塞症 |
| 197 | 先天性三尖弁狭窄症 | 244 | 特発性拡張型心筋症 | 291 | ビタミンD抵抗性くる病／骨軟化症 | 338 | ミオクローヌス欠神てんかん |
| 198 | 先天性腎性尿崩症 | 245 | 特発性間質性肺炎 | 292 | ビッカースタッフ脳幹脳炎 | 339 | ミオクローヌス脱力発作を伴うてんかん |
| 199 | 先天性赤血球形成異常性貧血 | 246 | 特発性基底核石灰化症 | 293 | 非典型溶血性尿毒症症候群 | 340 | ミトコンドリア病 |
| 200 | 先天性僧帽弁狭窄症 | 247 | 特発性血栓症（遺伝性血栓性素因によるものに限る。） | 294 | 非特異性多発性小腸潰瘍症 | 341 | 無虹彩症 |
| 201 | 先天性大脳白質形成不全症 | 248 | 特発性後天性全身性無汗症 | 295 | 皮膚筋炎／多発性筋炎 | 342 | 無脾症候群 |
| 202 | 先天性肺静脈狭窄症 | 249 | 特発性大腿骨頭壊死症 | 296 | びまん性汎細気管支炎 ○ | 343 | 無βリポタンパク血症 |
| 203 | 先天性風疹症候群 ○ | 250 | 特発性多中心性キャッスルマン病 | 297 | 肥満低換気症候群 ○ | 344 | メープルシロップ尿症 |
| 204 | 先天性副腎低形成症 | 251 | 特発性門脈圧亢進症 | 298 | 表皮水疱症 | 345 | メチルグルタコン酸尿症 |
| 205 | 先天性副腎皮質酵素欠損症 | 252 | 特発性両側性感音難聴 | 299 | ヒルシュスプルング病（全結腸型又は小腸型） | 346 | メチルマロン酸血症 |
| 206 | 先天性ミオパチー | 253 | 突発性難聴 ○ | 300 | VATER症候群 | 347 | メビウス症候群 |
| 207 | 先天性無痛無汗症 | 254 | ドラベ症候群 | 301 | ファイファー症候群 | 348 | 免疫性血小板減少症 |
| 208 | 先天性葉酸吸収不全 | 255 | 中條・西村症候群 | 302 | ファロー四徴症 | 349 | メンケス病 |
| 209 | 前頭側頭葉変性症 | 256 | 那須・ハコラ病 | 303 | ファンコニ貧血 | 350 | 網膜色素変性症 |
| 210 | 繊毛機能不全症候群（カルタゲナー（Kartagener）症候群を含む。） | 257 | 軟骨無形成症 | 304 | 封入体筋炎 | 351 | もやもや病 |
| 211 | 早期ミオクローヌス脳症 | 258 | 難治頻回部分発作重積型急性脳炎 | 305 | フェニルケトン尿症 | 352 | モワット・ウイルソン症候群 |
| 212 | 総動脈幹遺残症 | 259 | 22q11.2欠失症候群 | 306 | フォンタン術後症候群 ○ | 353 | 薬剤性過敏症症候群 ○ |
| 213 | 総排泄腔遺残 | 260 | 乳児発症STING関連血管炎 | 307 | 複合カルボキシラーゼ欠損症 | 354 | ヤング・シンプソン症候群 |
| 214 | 総排泄腔外反症 | 261 | 乳幼児肝巨大血管腫 | 308 | 副甲状腺機能低下症 | 355 | 優性遺伝形式をとる遺伝性難聴 ○ |
