5.心身障害者等福祉手当(区制度) 指定の疾病一覧 361疾病(令和7年4月1日改定)

---

### 指定の疾病一覧（150〜281）

| インデックス | 番号 | 疾病名 |
| :--- | :--- | :--- |
| **し** | 150 | 神経軸索スフェロイド形成を伴う遺伝性びまん性白質脳症 |
| | 151 | 神経線維腫症 |
| | 152 | 神経有棘赤血球症 |
| | 153 | 進行性核上性麻痺 |
| | 154 | 進行性家族性肝内胆汁うっ滞症 |
| | 155 | 進行性骨化性線維異形成症 |
| | 156 | 進行性多巣性白質脳症 |
| | 157 | 進行性白質脳症 |
| | 158 | 進行性ミオクローヌスてんかん |
| | 159 | 心室中隔欠損を伴う肺動脈閉鎖症 |
| | 160 | 心室中隔欠損を伴わない肺動脈閉鎖症 |
| | 161 | 人工透析を必要とする腎不全 |
| **す** | 162 | 睡眠時棘徐波活性化を示す発達性てんかん性脳症及びてんかん性脳症 |
| | 163 | スタージ・ウェーバー症候群 |
| | 164 | スティーヴンス・ジョンソン症候群 |
| | 165 | スミス・マギニス症候群 |
| | 166 | スモン |
| | 167 | 脆弱X症候群 |
| | 168 | 脆弱X症候群関連疾患 |
| | 169 | 成人発症スチル病 |
| | 170 | 脊髄空洞症 |
| | 171 | 脊髄小脳変性症（多系統萎縮症を除く。） |
| | 172 | 脊髄髄膜瘤 |
| | 173 | 脊髄性筋萎縮症 |
| | 174 | セピアプテリン還元酵素（SR）欠損症 |
| | 175 | 前眼部形成異常 |
| | 176 | 全身性アミロイドーシス |
| | 177 | 全身性エリテマトーデス |
| **せ** | 178 | 全身性強皮症 |
| | 179 | 先天異常症候群 |
| | 180 | 先天性横隔膜ヘルニア |
| | 181 | 先天性核上性球麻痺 |
| | 182 | 先天性気管狭窄症／先天性声門下狭窄症 |
| | 183 | 先天性魚鱗癬 |
| | 184 | 先天性筋無力症候群 |
| | 185 | 先天性グリコシルホスファチジルイノシトール（GPI）欠損症 |
| | 186 | 先天性血液凝固因子欠乏症等（第1因子欠乏症、第2因子欠乏症、第5因子欠乏症、第7因子欠乏症、第8因子欠乏症、第9因子欠乏症、第10因子欠乏症、第11因子欠乏症、第12因子欠乏症、第13因子欠乏症、フォン・ヴィレブランド病及び血液凝固因子製剤の投与に起因するHIV感染症をいう。） |
| | 187 | 先天性三尖弁狭窄症 |
| | 188 | 先天性腎性尿崩症 |
| | 189 | 先天性赤血球形成異常性貧血 |
| | 190 | 先天性僧帽弁狭窄症 |
| | 191 | 先天性大脳白質形成不全症 |
| | 192 | 先天性肺静脈狭窄症 |
| **せ** | 193 | 先天性副腎低形成症 |
